,X,Y,PRIMARYDISTRICTCD,COMMON_NAME,TREEHEIGHT,DIAM,GENUS,HERITAGE,EXCEPTIONAL
2951,-122.359805695346,47.6331751610603,DISTRICT7,English Oak,0.0,4,Quercus,N,N
2952,-122.29991547807,47.6009884601401,DISTRICT3,Emerald Queen Norway Maple,0.0,17,Acer,N,N
2953,-122.250434089088,47.5036754080926,DISTRICT2,American Hornbeam,0.0,2,Carpinus,N,N
2954,-122.308799053522,47.6218199786378,DISTRICT3,Western Red Cedar,0.0,19,Thuja,N,N
2955,-122.337368995326,47.55464327108,DISTRICT2,Pacific Sunset Maple,0.0,9,Acer,N,N
2956,-122.380246581407,47.5694475820752,DISTRICT1,Cherry/Plum/Laurel,0.0,1,Prunus,N,N
2957,-122.341213087155,47.6548696521209,DISTRICT4,Purpleleaf Plum variety,0.0,9,Prunus,N,N
2958,-122.29420752749,47.6703767497992,DISTRICT4,White-barked Himalayan (Jacque,0.0,2,Betula,N,N
2959,-122.290037284909,47.6959292803032,DISTRICT5,Washington Hawthorn,0.0,7,Crataegus,N,N
2960,-122.324363970239,47.6656564215215,DISTRICT6,English Midland Hawthorn,0.0,9,Crataegus,N,N
2961,-122.287517938236,47.5231223312089,DISTRICT2,Juniper,0.0,8,Juniperus,N,N
2962,-122.320526887043,47.6559670073107,DISTRICT4,Red Maple,0.0,22,Acer,N,N
2963,-122.264037337479,47.5153964671282,DISTRICT2,Japanese Snowbell Tree,0.0,2,Styrax,N,N
2964,-122.304797633372,47.5442708491983,DISTRICT2,Willow,0.0,18,Salix,N,N
2965,-122.349824463725,47.6860225267475,DISTRICT6,English Midland Hawthorn,0.0,11,Crataegus,N,N
2966,-122.314520216091,47.6552446241106,DISTRICT4,Sovereign Pin Oak,0.0,15,Quercus,N,N
2967,-122.334730767743,47.7023261820812,DISTRICT5,Tulip Tree,0.0,19,Liriodendron,N,N
2968,-122.368993956695,47.707927367933,DISTRICT5,"Persian Ironwood, Parrotia",0.0,2,Parrotia,N,N
2969,-122.390510246314,47.5329445238924,DISTRICT1,Blireiana Purpleleaf Plum,0.0,5,Prunus,N,N
2970,-122.32515360914,47.6009361216553,DISTRICT2,London Plane (Tree),0.0,21,Platanus,N,N
2971,-122.305085203197,47.5743310584303,DISTRICT2,Apple/Crabapple,0.0,5,Malus,N,N
2972,-122.375508756282,47.6838345252133,DISTRICT6,(Smooth) Japanese Maple,0.0,9,Acer,N,N
2973,-122.370233640924,47.67522207832,DISTRICT6,Kousa Dogwood,0.0,4,Cornus,N,N
2974,-122.36028464288,47.6817442310021,DISTRICT6,Higan (Spring) Cherry,0.0,2,Prunus,N,N
2975,-122.406481859229,47.6763378064381,DISTRICT6,Scots Pine,0.0,22,Pinus,N,N
2976,-122.289244807119,47.6117564686195,DISTRICT3,Sugar Maple,0.0,15,Acer,N,N
2977,-122.310910674104,47.7030982170055,DISTRICT5,Bitter Cherry,0.0,6,Prunus,N,N
2978,-122.368875445757,47.6397548295665,DISTRICT7,Holm (Holly) Oak,0.0,11,Quercus,N,N
2979,-122.334222981492,47.5315580091937,DISTRICT1,Pyramidal (Pyramidal European),0.0,3,Carpinus,N,N
2980,-122.405372764072,47.6717129122708,DISTRICT6,Quaking Aspen,0.0,6,Populus,N,N
2981,-122.289751181105,47.6960451826697,DISTRICT5,Japanese Snowbell Tree,0.0,7,Styrax,N,N
2982,-122.308803498816,47.6113948619183,DISTRICT3,Sargent Cherry,0.0,11,Prunus,N,N
2983,-122.280665010229,47.5555183335958,DISTRICT2,Apple/Crabapple,0.0,7,Malus,N,N
2984,-122.296263255662,47.5964484356865,DISTRICT3,Blireiana Purpleleaf Plum,0.0,4,Prunus,N,N
2985,-122.328467800184,47.6665047476441,DISTRICT6,Purpleleaf Plum variety,0.0,2,Prunus,N,N
2986,-122.300539977194,47.6596664825272,DISTRICT4,Honey Locust,0.0,12,Gleditsia,N,N
2987,-122.287810595058,47.5819173890684,DISTRICT3,Littleleaf Linden,0.0,18,Tilia,N,N
2988,-122.291989256784,47.5775946020755,DISTRICT2,Unknown,0.0,1,,N,N
2989,-122.341367716863,47.6393553862056,DISTRICT7,Red Maple,0.0,6,Acer,N,N
2990,-122.280683846152,47.6394142892113,DISTRICT3,English Midland Hawthorn,0.0,12,Crataegus,N,N
2991,-122.267927140102,47.5510736596485,DISTRICT2,Largeleaf Crabapple,0.0,6,Malus,N,N
2992,-122.344965690382,47.6532512652139,DISTRICT7,"Tupelo, Sour Gum",0.0,7,Nyssa,N,N
2993,-122.289467464982,47.5494877238704,DISTRICT2,Freeman Maple,0.0,6,Acer,N,N
2994,-122.364031432111,47.688435482679,DISTRICT6,Japanese Snowbell Tree,0.0,3,Styrax,N,N
2995,-122.312802264767,47.720646012424,DISTRICT5,Littleleaf Linden,0.0,20,Tilia,N,N
2996,-122.337392838772,47.6538398171818,DISTRICT4,Western Red Cedar,0.0,25,Thuja,N,N
2997,-122.30864707851,47.5736149970824,DISTRICT2,European (Green) Beech,0.0,22,Fagus,N,N
2998,-122.349954512607,47.6807396747113,DISTRICT6,Common Hawthorn,0.0,11,Crataegus,N,N
2999,-122.289371734626,47.6900492599375,DISTRICT4,Purpleleaf Plum variety,0.0,18,Prunus,N,N
3000,-122.296905412846,47.6825713513595,DISTRICT4,White Mulberry,0.0,7,Morus,N,N
3001,-122.303155976115,47.6464529818038,DISTRICT3,Sweetgum,0.0,10,Liquidambar,N,N
3002,-122.389701473394,47.6837219472594,DISTRICT6,Mountain Ash/Whitebeam,0.0,5,Sorbus,N,N
3003,-122.396414292494,47.6338040262078,DISTRICT7,Thundercloud Purpleleaf Plum,0.0,3,Prunus,N,N
3004,-122.270245146292,47.6745092946395,DISTRICT4,Sweetgum,0.0,3,Liquidambar,N,N
3005,-122.306640846457,47.5884576622093,DISTRICT3,Littleleaf Linden,,7,Tilia,N,N
3006,-122.379470459601,47.6668631192464,DISTRICT6,Red Maple,0.0,10,Acer,N,N
3007,-122.392445032138,47.6695201885719,DISTRICT6,Red Oak,0.0,12,Quercus,N,N
3008,-122.365131472891,47.6744217584037,DISTRICT6,Japanese Snowbell Tree,0.0,7,Styrax,N,N
3009,-122.319714838029,47.6581435751653,DISTRICT4,European Hornbeam,0.0,4,Carpinus,N,N
3010,-122.332242064176,47.6567521609977,DISTRICT4,Japanese Tree Lilac,0.0,3,Syringa,N,N
3011,-122.317346677481,47.6804753089662,DISTRICT4,Crimean Linden,0.0,9,Tilia,N,N
3012,-122.370621901575,47.5501572501566,DISTRICT1,Callery Pear,0.0,6,Pyrus,N,N
3013,-122.358185145227,47.6378569908674,DISTRICT7,Thundercloud Purpleleaf Plum,0.0,18,Prunus,N,N
